sample_ID,geo_loc_name,species,observed,shannon,richness_0,richness_20,richness_50,richness_80,diversities_inverse_simpson,diversities_gini_simpson,diversities_shannon,diversities_fisher,diversities_coverage,evenness_camargo,evenness_pielou,evenness_simpson,evenness_evar,evenness_bulla,dominance_dbp,dominance_dmn,dominance_absolute,dominance_relative,dominance_simpson,dominance_core_abundance,dominance_gini,rarity_log_modulo_skewness,rarity_low_abundance,rarity_noncore_abundance,rarity_rare_abundance
SRR6442740,Chiloe,Balaenoptera musculus,54,1.336790273,54,54,54,54,2.708034241,0.630728451,1.336790273,6.578019842,1,0.01495529,0.335120486,0.012537196,0.125798975,0.053066064,0.54109419,0.753393478,13075,0.54109419,0.369271549,0.982122165,0.98504471,2.059931062,0.015229267,0.005586823,0.005586823
SRR6442741,Chiloe,Balaenoptera musculus,19,0.497249902,19,19,19,19,1.250719381,0.200460139,0.497249902,2.106408411,1,0.006846193,0.168877639,0.005790368,0.084492344,0.031657613,0.89162024,0.956234564,15524,0.89162024,0.799539861,0.985468956,0.993153807,2.057363892,0.003733272,0.00045948,0.00045948
SRR6442742,Chiloe,Balaenoptera musculus,44,2.018659507,44,44,44,44,5.060238703,0.802380864,2.018659507,5.843115438,2,0.02659474,0.533445652,0.023427031,0.098377126,0.070733318,0.362767619,0.526784894,3948,0.362767619,0.197619136,0.775337683,0.97340526,2.059929952,0.007902233,0.065423137,0.065423137
SRR6442743,Chiloe,Balaenoptera musculus,43,1.417666322,43,43,43,43,3.332566879,0.699931003,1.417666322,4.828248461,2,0.015705582,0.376918611,0.01542855,0.09091342,0.043820678,0.360023592,0.716592709,12819,0.360023592,0.300068997,0.991209347,0.984294418,2.057347007,0.012048531,0.003875751,0.003875751
SRR6442744,Chiloe,Balaenoptera musculus,42,0.231016678,42,42,42,42,1.077993335,0.072350479,0.231016678,4.333699176,1,0.005799979,0.061807677,0.00499071,0.109420198,0.022986743,0.962973528,0.978762551,67516,0.962973528,0.927649521,0.993624487,0.994200021,2.060624304,0.007644911,0.000242469,0.000242469
SRR6442745,Chiloe,Balaenoptera musculus,62,1.548183084,62,62,62,62,2.585478783,0.613224442,1.548183084,7.999527034,1,0.020826852,0.375123013,0.011969809,0.149144388,0.082485763,0.592289468,0.754522938,11000,0.592289468,0.386775558,0.943194056,0.979173148,2.060688357,0.027945294,0.012222701,0.012222701
SRR6442746,Chiloe,Balaenoptera musculus,64,1.477136031,64,64,64,64,3.070136688,0.674281603,1.477136031,7.763374059,2,0.017528303,0.355176138,0.014213596,0.124895756,0.060743162,0.484132091,0.723522439,14294,0.484132091,0.325718397,0.949093988,0.982471697,2.060378357,0.018526672,0.006062659,0.006062659
SRR6442747,Reserva Nacional Pinguino de Humboldt,Megaptera novaeangliae,54,1.089936707,54,54,54,54,1.95412604,0.488262282,1.089936707,5.613120026,1,0.011871432,0.273236667,0.00904688,0.087768475,0.052652316,0.68709502,0.878896089,58109,0.68709502,0.511737718,0.93935345,0.988128568,2.059931062,0.010890129,0.017417112,0.017417112
SRR6442748,Reserva Nacional Pinguino de Humboldt,Megaptera novaeangliae,72,1.745360171,72,72,72,72,3.506348364,0.71480301,1.745360171,8.642659834,2,0.024454593,0.408112329,0.016233094,0.148460448,0.079239184,0.468135546,0.661441919,16785,0.468135546,0.28519699,0.29867522,0.975545407,2.060324568,0.03466741,0.030567564,0.030567564
SRR6442749,Reserva Nacional Pinguino de Humboldt,Megaptera novaeangliae,32,2.334472843,32,32,32,32,8.2347289,0.878563094,2.334472843,3.517209755,4,0.036621865,0.673586479,0.038123745,0.074015137,0.071395312,0.230443773,0.371560363,7244,0.230443773,0.121436906,0.278702084,0.963378135,1.976283891,0.0062669,0.182058215,0.182058215
SRR6442750,Reserva Nacional Pinguino de Humboldt,Megaptera novaeangliae,79,1.485670357,79,79,79,79,2.436520883,0.589578728,1.485670357,8.855853993,1,0.019417034,0.340013294,0.011280189,0.124811736,0.077934925,0.616096082,0.764186671,40833,0.616096082,0.410421272,0.845014107,0.980582966,2.059791159,0.019388325,0.01551066,0.01551066
SRR6442751,Reserva Nacional Pinguino de Humboldt,Megaptera novaeangliae,22,1.581837895,22,22,22,22,3.40137008,0.706000824,1.581837895,3.161762855,2,0.017551341,0.511749003,0.015747084,0.098464475,0.042955351,0.455448525,0.718242023,1513,0.455448525,0.293999176,0.84166165,0.982448659,2.061423036,0.005719446,0.003311258,0.003311258
SRR6442752,Reserva Nacional Pinguino de Humboldt,Megaptera novaeangliae,77,2.077903658,77,77,77,77,5.283397147,0.810727838,2.077903658,9.112746251,2,0.03005829,0.478360206,0.024460172,0.121988652,0.089947968,0.324557901,0.552875696,13820,0.324557901,0.189272162,0.120123999,0.96994171,2.058373965,0.023249806,0.078297832,0.078297832
SRR6442753,Reserva Nacional Pinguino de Humboldt,Megaptera novaeangliae,13,0.643075704,13,13,13,13,1.647937666,0.393180931,0.643075704,1.809871862,1,0.007417907,0.250716725,0.007629341,0.104978803,0.015621734,0.737085258,0.989080218,1755,0.737085258,0.606819069,0.006299874,0.992582093,2.052469465,0.005039899,0.000419992,0.000419992
SRR6442754,Reserva Nacional Pinguino de Humboldt,Megaptera novaeangliae,20,1.219280339,20,20,20,20,2.063732636,0.515441108,1.219280339,2.359507,1,0.013276402,0.407005776,0.009554318,0.088222234,0.048071326,0.680296741,0.78548088,7703,0.680296741,0.484558892,0.971562307,0.986723598,2.05777259,0.003885896,0.00697695,0.00697695
SRR6442755,Chiloe,Balaenoptera musculus,58,1.687463865,58,58,58,58,3.573512848,0.720163312,1.687463865,7.11018065,2,0.020204854,0.415586147,0.016544041,0.105251597,0.064830634,0.420984717,0.715190129,10440,0.420984717,0.279836688,0.872010968,0.979795146,2.060139207,0.010242348,0.004717932,0.004717932
SRR6442756,Chiloe,Balaenoptera musculus,53,1.672976471,53,53,53,53,3.723144369,0.731409824,1.672976471,7.725758336,2,0.020229072,0.421373669,0.017236779,0.147531927,0.059862153,0.411333062,0.688136975,3027,0.411333062,0.268590176,0.972958282,0.979770928,2.059378002,0.022829189,0.00964805,0.00964805
SRR6442757,Chiloe,Balaenoptera musculus,77,1.789782396,77,77,77,77,3.500817539,0.714352437,1.789782396,9.182463545,2,0.023865833,0.412030978,0.016207489,0.122013791,0.081953858,0.482007952,0.667171968,19396,0.482007952,0.285647563,0.933300199,0.976134167,2.059699782,0.020054672,0.008722664,0.008722664
SRR6442758,Chiloe,Balaenoptera musculus,60,1.916042076,60,60,60,60,3.938026503,0.746065701,1.916042076,8.209643639,2,0.027699156,0.467972846,0.018231604,0.126409743,0.10265976,0.395574788,0.689418681,4845,0.395574788,0.253934299,0.176192031,0.972300844,2.059836905,0.014288047,0.031025474,0.031025474
SRR6442759,Chiloe,Balaenoptera musculus,49,1.53506388,49,49,49,49,3.57759222,0.720482398,1.53506388,5.947219898,2,0.016853152,0.394433392,0.016562927,0.101314707,0.042812515,0.366027008,0.706911869,8240,0.366027008,0.279517602,0.969482942,0.983146848,2.058329194,0.007729211,0.002398721,0.002398721
SRR6442760,Chiloe,Balaenoptera musculus,71,1.256817084,71,71,71,71,2.591927648,0.614186761,1.256817084,9.076548597,2,0.015569082,0.294842005,0.011999665,0.154105052,0.055776981,0.444046988,0.873608903,10055,0.444046988,0.385813239,0.890037096,0.984430918,2.060866821,0.016384031,0.01148207,0.01148207
SRR6442761,Chiloe,Balaenoptera musculus,74,2.128230517,74,74,74,74,5.011379944,0.800454164,2.128230517,13.16298679,2,0.035899106,0.494469872,0.023200833,0.202331945,0.117894467,0.332965517,0.557793103,1207,0.332965517,0.199545836,0.889931034,0.964100894,2.061423036,0.035586207,0.030344828,0.030344828
SRR6442762,Chiloe,Balaenoptera musculus,84,1.644174488,84,84,84,84,3.438891121,0.709208589,1.644174488,9.469947849,2,0.019161265,0.371077064,0.015920792,0.098162537,0.058574087,0.455945862,0.719202173,30723,0.455945862,0.290791411,0.963996854,0.980838735,2.058891881,0.008592672,0.004036626,0.004036626
SRR6442763,Chiloe,Balaenoptera musculus,75,1.217495704,75,75,75,75,2.603251922,0.615865068,1.217495704,7.903627874,2,0.01332275,0.281991675,0.012052092,0.103033186,0.040159758,0.453647329,0.870763929,47388,0.453647329,0.384134932,0.990130193,0.98667725,2.060415145,0.009486885,0.003762206,0.003762206
SRR6442764,Chiloe,Balaenoptera musculus,68,3.140071208,68,68,68,68,14.57604237,0.931394272,3.140071208,12.55451402,5,0.083104567,0.744179517,0.067481678,0.244374852,0.198463942,0.13579808,0.260220405,382,0.13579808,0.068605728,0.573764664,0.916895433,2.061423036,0.021685034,0.19765375,0.19765375
SRR6442765,Reserva Nacional Pinguino de Humboldt,Megaptera novaeangliae,32,2.360433768,32,32,32,32,9.30678591,0.89255152,2.360433768,3.349425968,4,0.039419354,0.681077218,0.043086972,0.065125574,0.069813243,0.141060122,0.279600178,6661,0.141060122,0.10744848,0.341267656,0.960580646,2.001646891,0.006247221,0.212617268,0.212617268
SRR6442766,Reserva Nacional Pinguino de Humboldt,Megaptera novaeangliae,39,1.018666629,39,39,39,39,1.890436458,0.471021628,1.018666629,4.598145304,1,0.011149594,0.278053634,0.008752021,0.122460035,0.043544478,0.697800216,0.897583844,15480,0.697800216,0.528978372,0.034078615,0.988850406,2.059502861,0.015371439,0.016588532,0.016588532
SRR6442767,Estrecho de Magallanes,Megaptera novaeangliae,32,0.994516543,32,32,32,32,1.833920404,0.454720064,0.994516543,3.32138021,1,0.010264899,0.286956817,0.008490372,0.065295721,0.028005938,0.722399527,0.856698188,36669,0.722399527,0.545279936,0.998463357,0.989735101,2.051703406,0.001635146,0.000157604,0.000157604
SRR6442768,Reserva Nacional Pinguino de Humboldt,Megaptera novaeangliae,36,1.130181294,36,36,36,36,2.016691993,0.504138459,1.130181294,4.694178471,1,0.012330318,0.315383095,0.009336537,0.121066448,0.053208265,0.674995023,0.866414493,6781,0.674995023,0.495861541,0.055245869,0.987669682,2.059152352,0.015030858,0.025781406,0.025781406
SRR6442769,Estrecho de Magallanes,Megaptera novaeangliae,32,1.741837961,32,32,32,32,3.788031928,0.736010673,1.741837961,4.022456584,2,0.020460758,0.502588198,0.017537185,0.085215397,0.058612442,0.424060019,0.685073715,4861,0.424060019,0.263989327,0.397976097,0.979539242,2.058513515,0.005146995,0.156939719,0.156939719
